Accuracy_Euclidean,Duration_Euclidean,S_size_Euclidean,Accuracy_Manhattan,Duration_Manhattan,S_size_Manhattan,Accuracy_Infinity,Duration_Infinity,S_size_Infinity
0.9996333333333334,142.99277114868164,23015,0.9995333333333334,133.53338360786438,23118,0.9995666666666667,129.81798911094666,23117
0.9997,142.863587141037,23052,0.9996666666666667,135.39379382133484,23118,0.9997,127.85769152641296,23164
0.9995333333333334,142.89276432991028,23034,0.9995666666666667,132.6690776348114,23033,0.9996,128.4237084388733,23156
0.9996333333333334,141.31689262390137,23091,0.9997,131.726877450943,23109,0.9996666666666667,127.69369649887085,23164
0.9997333333333334,142.21710205078125,23049,0.9996666666666667,132.53736329078674,23047,0.9996666666666667,127.7953565120697,23133
0.9998,141.56878924369812,23099,0.9998,132.3864028453827,22939,0.9998333333333334,127.36921739578247,23133
0.9996333333333334,141.59767699241638,23148,0.9997666666666667,132.12393951416016,23093,0.9997333333333334,127.88918709754944,22988
0.9996333333333334,141.0270493030548,23129,0.9996333333333334,132.06323790550232,23030,0.9996333333333334,127.39044952392578,23132
0.9998,138.91311597824097,23122,0.9998333333333334,132.23474097251892,23027,0.9998666666666667,126.94561123847961,22978
0.9996666666666667,141.2147991657257,22960,0.9996666666666667,131.2898771762848,23086,0.9996666666666667,128.0137002468109,23084
0.9997,141.67931175231934,23109,0.9997333333333334,132.17040181159973,23163,0.9996666666666667,127.59731698036194,23111
0.9996,139.3970983028412,22966,0.9996333333333334,131.6675956249237,23100,0.9996666666666667,131.24511981010437,23215
0.9997666666666667,141.30405569076538,22978,0.9996666666666667,133.3995292186737,23192,0.9997333333333334,128.17859196662903,23069
0.9997666666666667,143.29110264778137,23150,0.9998333333333334,132.63142228126526,23066,0.9998666666666667,127.79589414596558,23210
0.9995666666666667,141.99365782737732,23069,0.9996333333333334,132.37339878082275,23130,0.9996333333333334,127.8412036895752,23119
0.9997333333333334,142.11063194274902,23094,0.9996333333333334,132.7577257156372,23154,0.9997666666666667,127.71651434898376,23153
0.9998333333333334,138.68935298919678,23063,0.9998,130.99465107917786,23055,0.9998666666666667,126.40865159034729,23116
0.9997,138.07991528511047,23036,0.9996333333333334,130.55332112312317,23100,0.9997,128.51749897003174,23105
0.9997333333333334,140.6524794101715,23074,0.9997333333333334,132.66391921043396,23139,0.9997666666666667,128.7458782196045,23173
0.9997,141.34870862960815,23010,0.9997,132.11697840690613,22976,0.9997,128.54211568832397,23007
0.9996666666666667,139.91136527061462,23173,0.9995666666666667,132.34396314620972,23246,0.9995333333333334,129.19079184532166,23079
0.9997,140.77741312980652,23096,0.9997,132.26744437217712,23035,0.9996666666666667,128.34423303604126,23228
0.9996333333333334,140.8142704963684,22964,0.9995666666666667,131.90376329421997,23126,0.9995666666666667,128.1828339099884,22968
0.9997,140.48693656921387,22985,0.9996666666666667,131.799218416214,23076,0.9997333333333334,128.41188430786133,23005
0.9996333333333334,140.32991003990173,23080,0.9996,132.0977041721344,23110,0.9995666666666667,127.9372124671936,22964
0.9996666666666667,139.98534107208252,23107,0.9994666666666666,131.48710751533508,23067,0.9996666666666667,127.90124678611755,23137
0.9997,140.3060646057129,23134,0.9996666666666667,131.46082067489624,23049,0.9997,128.59556603431702,23073
0.9997666666666667,142.7276473045349,23062,0.9996666666666667,130.89785623550415,23141,0.9997,129.0575189590454,23142
0.9996666666666667,144.09867429733276,23092,0.9996666666666667,131.01556658744812,23069,0.9998,129.1305170059204,23029
0.9997333333333334,140.25840830802917,23040,0.9997333333333334,131.94899582862854,23098,0.9997666666666667,128.6767463684082,23117
