Accuracy_Euclidean,Duration_Euclidean,Accuracy_Manhattan,Duration_Manhattan,Accuracy_Infinity,Duration_Infinity
0.9998,70.07498121261597,0.9998,71.29618549346924,0.9997666666666667,59.009886026382446
0.9998666666666667,76.03829669952393,0.9999,63.61021065711975,0.9998666666666667,60.71468687057495
0.9997,71.86385869979858,0.9996666666666667,68.32638764381409,0.9997333333333334,57.871676445007324
0.9998333333333334,70.18483972549438,0.9998333333333334,64.96322536468506,0.9998333333333334,58.86418914794922
0.9997333333333334,71.86798024177551,0.9997,64.6769483089447,0.9996666666666667,58.2171688079834
0.9998,74.68372559547424,0.9998,69.68823075294495,0.9998,59.34724950790405
0.9997,72.35253167152405,0.9997,64.60860276222229,0.9997,59.56451606750488
0.9998333333333334,72.50491571426392,0.9998666666666667,64.03575229644775,0.9998,59.14794850349426
0.9998333333333334,72.32061433792114,0.9998,67.5230598449707,0.9998333333333334,59.72441291809082
0.9998333333333334,71.48142623901367,0.9998333333333334,63.55903124809265,0.9998333333333334,59.18097996711731
